Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","528","Netherlands (Kingdom of the)","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","17501.7","X","Figure from international organizations"
"FBS","Food Balances (2010-)","528","Netherlands (Kingdom of the)","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","38.13","E","Estimated value"
"FBS","Food Balances (2010-)","528","Netherlands (Kingdom of the)","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","74.48","E","Estimated value"
"FBS","Food Balances (2010-)","807","North Macedonia","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","2103.33","X","Figure from international organizations"
"FBS","Food Balances (2010-)","807","North Macedonia","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","52.71","E","Estimated value"
"FBS","Food Balances (2010-)","807","North Macedonia","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","38.59","E","Estimated value"
"FBS","Food Balances (2010-)","578","Norway","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","5403.02","X","Figure from international organizations"
"FBS","Food Balances (2010-)","578","Norway","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","55.27","E","Estimated value"
"FBS","Food Balances (2010-)","578","Norway","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","72.02","E","Estimated value"
"FBS","Food Balances (2010-)","616","Poland","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","38307.73","X","Figure from international organizations"
"FBS","Food Balances (2010-)","616","Poland","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","45","E","Estimated value"
"FBS","Food Balances (2010-)","616","Poland","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","73.17","E","Estimated value"
"FBS","Food Balances (2010-)","620","Portugal","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","10290.1","X","Figure from international organizations"
"FBS","Food Balances (2010-)","620","Portugal","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","40.95","E","Estimated value"
"FBS","Food Balances (2010-)","620","Portugal","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","78.61","E","Estimated value"
"FBS","Food Balances (2010-)","498","Republic of Moldova","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","2561.51","X","Figure from international organizations"
"FBS","Food Balances (2010-)","498","Republic of Moldova","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","46.62","E","Estimated value"
"FBS","Food Balances (2010-)","498","Republic of Moldova","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","48.57","E","Estimated value"
"FBS","Food Balances (2010-)","642","Romania","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","19328.56","X","Figure from international organizations"
"FBS","Food Balances (2010-)","642","Romania","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","50.57","E","Estimated value"
"FBS","Food Balances (2010-)","642","Romania","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","59.65","E","Estimated value"
"FBS","Food Balances (2010-)","643","Russian Federation","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","145102.76","X","Figure from international organizations"
"FBS","Food Balances (2010-)","643","Russian Federation","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","51.13","E","Estimated value"
"FBS","Food Balances (2010-)","643","Russian Federation","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","63.25","E","Estimated value"
"FBS","Food Balances (2010-)","688","Serbia","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","7296.77","X","Figure from international organizations"
"FBS","Food Balances (2010-)","688","Serbia","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","66.03","E","Estimated value"
"FBS","Food Balances (2010-)","688","Serbia","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","58.73","E","Estimated value"
"FBS","Food Balances (2010-)","703","Slovakia","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","5447.62","X","Figure from international organizations"
"FBS","Food Balances (2010-)","703","Slovakia","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","33.12","E","Estimated value"
"FBS","Food Balances (2010-)","703","Slovakia","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","45.2","E","Estimated value"
"FBS","Food Balances (2010-)","705","Slovenia","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","2119.41","X","Figure from international organizations"
"FBS","Food Balances (2010-)","705","Slovenia","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","44.85","E","Estimated value"
"FBS","Food Balances (2010-)","705","Slovenia","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","55.78","E","Estimated value"
"FBS","Food Balances (2010-)","724","Spain","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","47486.93","X","Figure from international organizations"
"FBS","Food Balances (2010-)","724","Spain","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","38.36","E","Estimated value"
"FBS","Food Balances (2010-)","724","Spain","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","76.54","E","Estimated value"
"FBS","Food Balances (2010-)","752","Sweden","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","10467.1","X","Figure from international organizations"
"FBS","Food Balances (2010-)","752","Sweden","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","39.35","E","Estimated value"
"FBS","Food Balances (2010-)","752","Sweden","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","71.74","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","8691.41","X","Figure from international organizations"
"FBS","Food Balances (2010-)","756","Switzerland","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","35.07","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","66.9","E","Estimated value"
"FBS","Food Balances (2010-)","804","Ukraine","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","43531.42","X","Figure from international organizations"
"FBS","Food Balances (2010-)","804","Ukraine","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","46.73","E","Estimated value"
"FBS","Food Balances (2010-)","804","Ukraine","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","45.36","E","Estimated value"
"FBS","Food Balances (2010-)","826","United Kingdom of Great Britain and Northern Ireland","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","67281.04","X","Figure from international organizations"
"FBS","Food Balances (2010-)","826","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","45.6","E","Estimated value"
"FBS","Food Balances (2010-)","826","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","64.03","E","Estimated value"
